CZAS;NO2 Dwutlenek azotu;NOx Tlenki azotu;Tlenek azotu;CO Tlenek węgla 8h2);Pył zawieszony PM10;Pył zawieszony PM2.5
1:00;32;86;35;1063;45;37
2:00;31;65;22;997;41;34
3:00;31;70;25;930;35;29
4:00;28;64;24;894;34;29
5:00;35;82;31;843;28;21
6:00;57;259;132;839;38;28
7:00;81;342;170;866;39;31
8:00;80;467;253;924;52;40
9:00;76;329;165;943;43;32
10:00;81;388;201;982;88;45
11:00;72;289;142;1007;120;41
12:00;92;382;190;1044;111;38
13:00;93;348;167;1099;96;35
14:00;86;319;152;1105;77;31
15:00;73;222;97;1052;50;21
16:00;93;315;145;997;53;22
17:00;111;495;251;1079;76;38
18:00;109;543;284;1170;123;63
19:00;142;900;496;1419;206;121
20:00;119;754;416;1634;197;125
21:00;96;605;333;1840;202;133
22:00;103;714;400;2102;230;155
23:00;71;472;262;2368;242;178
24:00;72;473;262;2595;243;186